"","season","day","date","home_team","away_team","home_score","away_score","stadium","home_1","home_2","home_3","home_4","home_5","home_6","home_7","home_8","home_9","home_10","home_11","home_12","home_13","home_14","home_15","home_16","home_17","home_18","home_19","home_20","home_21","home_22","home_23","away_1","away_2","away_3","away_4","away_5","away_6","away_7","away_8","away_9","away_10","away_11","away_12","away_13","away_14","away_15","away_16","away_17","away_18","away_19","away_20","away_21","away_22","away_23","delayed_game","score_diff","winning_team"
"21","2005-2006","J3","2005-09-04","USA Perpignan","Stade Français Paris",16,12,"","NICOLAS LAHARRAGUE","MARIUS TINCU","SÉBASTIEN BOZZI","RIMAS ALVAREZ KAIRELIS","PASCAL BOMATI","GUILLAUME BORTOLASO","MATTHIEU BOURRET","FREDERIC CERMENO","SEBASTIEN CHOBET","VINCENT DEBATY","SEBASTIEN DESCONS","SYLVAIN DUPUY","NICOLAS DURAND","MANUEL EDMONDS","PERRY FRESHWATER","COLIN GASTON","DIEGO GIANNANTONIO","BERNARD GOUTTA","BENJAMIN GOZE","JEAN PHILIPPE GRANDCLAUDE","NATHAN HINES","JEROME FILLOL","DAVID SKRELA","JULIEN ARIAS","DAVID AURADOU","MAURO BERGAMASCO","MIRCO BERGAMASCO","MATHIEU BLIN","LUCAS BORGES","IGNACIO CORLETO","PIETER DE VILLIERS","CHRISTOPHE DOMINICI","SERGIO PARISSE","STEPHANE GLAS","JUAN MARTIN HERNANDEZ","MIKE JAMES","RAPHAEL JECHOUX","BENJAMIN KAYSER","THIBAULT LACROIX","PABLO LEMOINE","BRIAN LIEBENBERG","ARNAUD MARCHOIS","SYLVAIN MARCONNET","","","",0,4,"USA Perpignan"
"22","2005-2006","J4","2005-09-09","Bourgoin","Montpellier Hérault Rugby",16,12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,4,"Bourgoin"
"23","2005-2006","J4","2005-09-09","Stade Français Paris","SU Agen",37,24,"","DAVID SKRELA","SERGIO PARISSE","MAURO BERGAMASCO","JUAN MARTIN HERNANDEZ","JULIEN ARIAS","DAVID AURADOU","MIRCO BERGAMASCO","MATHIEU BLIN","LUCAS BORGES","IGNACIO CORLETO","PIETER DE VILLIERS","CHRISTOPHE DOMINICI","JEROME FILLOL","AUGUSTIN PICHOT","STEPHANE GLAS","MIKE JAMES","RAPHAEL JECHOUX","BENJAMIN KAYSER","THIBAULT LACROIX","PABLO LEMOINE","BRIAN LIEBENBERG","ARNAUD MARCHOIS","FRANCOIS GELEZ","RUPENI CAUCAUNIBUCA","ARNAUD MATHET","PEPITO ELHORGA","PATRICK BLANCO","CHRISTIAN CALIFANO","ARIEL CASTELLINA","ALEXANDRE CHAZALET","DAMIEN COSTANZO","JEAN JACQUES CRENCA","FABRICE CULINE","SANTIAGO DELLAPE","DAMIEN FEVRE","ALESSIO GALASSO","KIRILL KULEMIN","LUC LAFFORGUE","YANNICK LARGUET","MATTHIEU LIEVREMONT","JEROME MIQUEL","SORIN SOCOL","","","","",0,13,"Stade Français Paris"
"24","2005-2006","J4","2005-09-10","Biarritz Olympique PB","CA Brive",43,5,"","JULIEN DUPUY","THIERRY DUSAUTOIR","IMANOL HARINORDOQUY","PHILIPPE BIDABE","PETRU BALAN","JULIEN PEYRELONGUE","ARAMBURU FEDERICO MARTIN","BENOIT AUGUST","DENIS AVRIL","MARC BAGET RABAROU","GUILLAUME BERGOS","SERGE BETSEN","SERELI BOBO","OCKERT BOYSE","NICOLAS BRUSQUE","MANUEL CARIZZA","DIDIER CHOUCHAN","DAVID COUZINET","BENJAMIN DAMBIELLE","THIBAULT DUVALLET","MIKAEL ETCHEVERRIA","BENJAMIN NOIROT","FARID SID","SIMON AZOULAI","SÉBASTIEN BONETTI","JÉRÔME BONVOISIN","JULIEN CAMPO","PIERRE CAPDEVIELLE","RUDY CHERON","SAMUEL CHINARRO","NICOLAS COUTTET","JOHAN DALLA RIVA","JAWAD DJOUDI","YVES DONGUY","DENYS DROZDZ","PASCAL GIORDANI","FABIEN LAURENT","CEDRIC LEITE","ALEXANDRE MALEYRIE","LIONEL MALLIER","YVAN MANHES","CLEMENT MARIENVAL","DAMIEN MINASSIAN","DAMIEN NEVEU","","",0,38,"Biarritz Olympique PB"
"25","2005-2006","J4","2005-09-10","Aviron Bayonnais","Section Paloise",44,16,"","RICHARD DOURTHE","VIATCHESLAV GRATCHEV","STÉPHANE AUSSEL","CÉDRIC BERGEZ","THIERRY CLEDA","EDUARD COETZEE","GUILLAUME COMBES","PHIL DAVIES","NICOLAS ETCHEVERRY","GERARD FRASER","CLÉMENT FROMONT","JORGE GARCIA","STEVEN HALL","ARNAUD HEGUY","JOSHUA HEKE","GRANT HILL","ARETZ IGUINIZ","VINCENT INIGO","SIULÉO LAFAIALI'I","LIONEL BEAUXIS","FABIEN CIBRAY","PATRICIO ALBACETE","DAVID BERDOY","FABIEN BOIROUX","ABDELLATIF BOUTATY","ROMAIN CABANNES","JEAN-EMMANUEL CASSIN","FLORIAN CAZALOT","RUDY CHARTRON-COLLIER","JEAN CHARLES CISTTACQ","BRENDON DANIEL","STÉPHANE DELPUECH","MATHIEU DOURTHE","ARNAUD EPITO","VINCENT FORGUES","PATRICK FURET","FERNANDO GUATIERI","JOHN ISAAC","ELVIS LABORDE GRECHE","ACE SOLOMONA TIATIA","DAVID LAPERNE","","","","","",0,28,"Aviron Bayonnais"
"26","2005-2006","J4","2005-09-10","ASM Clermont","RC Toulon",64,12,"","STEPHEN JONES","PIERRE MANUEL GARCIA","SAM BROOMHALL","JOEL KOFFI","PIERRE MIGNONI","AURELIEN ROUGERIE","GONZALO CANALE","ANTHONY FLOCH","JEAN-BAPTISTE DAMBIELLE","ALEXANDRE AUDEBERT","DAVID BARRIER","RAPHAËL CHANAL","JAMIE CUDMORE","MICHEL DIEUDE","LAURENT EMMANUELLI","EMMANUEL ETIEN","ADRIEN FALIERES","MARIO LEDESMA AROCENA","GONZALO LONGO","JULIEN MALZIEU","TONY MARSH","RACHID OURAK","PHILIP FITZGERALD","PATRICE TEISSEIRE","FRANCK ALAZET","FREDERIC ARNIAUD","BENJAMIN BASTERES","SEBASTIEN BISCIGLIA","SALIM BOUKANOUCHA","LAURENT BUCHET","OLIVIER CAISSO","JULIEN CAPDEILLAYRE","RAFAEL CARBALLO","FRANCK COMBA","NOËL CURNIER","DAVID DOUY","MOHAMMED DRIDI","ERIC ESPAGNO","JULIO GARCIA","OLIVIER GRIMAUD","EUSEBIO GUINAZU","ROMAIN LAFOURCADE","GREGORY LABADZE","","","",0,52,"ASM Clermont"
"27","2005-2006","J4","2005-09-10","Castres Olympique","USA Perpignan",18,23,"","ROMAIN TEULET","ALEXANDRE ALBOUY","DAVID ATTOUB","MATHIEU BARRAU","GUILLAUME BERNAD","ALEXANDRE BIAS","LAURENT BUSOLIN","LAURENT CADAU","RODRIGO CAPO ORTEGA","JEREMY CASTEX","PHILIP CHRISTOPHERS","YANN DELAIGUE","FLORIAN FAURE","YANN FIOR","BRADLY FLEMING","YANNICK FORESTIER","ROMAIN FROMENT","THOMAS GENEVOIS","KARIM GHEZAL","AKVSENTI GIORGADZE","CARL HOEFT","LAURENT MARTICORENA","NICOLAS LAHARRAGUE","JULIEN LAHARRAGUE","PASCAL BOMATI","RIMAS ALVAREZ KAIRELIS","GUILLAUME BORTOLASO","MATTHIEU BOURRET","SÉBASTIEN BOZZI","FREDERIC CERMENO","SEBASTIEN CHOBET","VINCENT DEBATY","SEBASTIEN DESCONS","SYLVAIN DUPUY","NICOLAS DURAND","MANUEL EDMONDS","PERRY FRESHWATER","COLIN GASTON","DIEGO GIANNANTONIO","BERNARD GOUTTA","BENJAMIN GOZE","JEAN PHILIPPE GRANDCLAUDE","NATHAN HINES","","","",0,-5,"USA Perpignan"
"28","2005-2006","J4","2005-09-10","Stade Toulousain","Narbonne",64,22,"","YANNICK JAUZION","FREDERIC MICHALAK","CEDRIC HEYMANS","VINCENT CLERC","JEAN FREDERIC DUBOIS","BENOIT BABY","JEAN BAPTISTE ELISSALDE","ANTOINE BATTUT","JEAN BOUILHOU","TREVOR BRENNAN","YANNICK BRU","JULIAN FIORINI","FLORIAN FRITZ","XAVIER GARBAJOSA","DAVID GERARD","OMAR HASAN","DANIEL HUMAN","NICOLAS JEANJEAN","GREGORY LAMBOLEY","JULIEN LE DEVEDEC","AIDAN MC CULLEN","FINAU MAKA","CEDRIC ROSALEN","FABIEN ROFES","NICOLAS NADAU","THIBAULT ALGRET","LAURENT BALUE","SYLVAIN BARTHES","BERTRAND BEDES","OLIVIER BENASSIS","JEAN-MARIE BISARO","MARCO BORTOLAMI","THOMAS BOUQUIE","JULIEN CANDELON","CÉDRIC DESBROSSE","DWAYNE HAARE","JASON HOOPER","DAVID HUNTER","CHRISTIAN LABIT","FRÉDÉRIC LARTIGUE","GREGORY MAHE","ARNAUD MARTINEZ","FRÉDERIC MARTINEZ","LIONEL MAZARS","","",0,42,"Stade Toulousain"
"29","2005-2006","J5","2005-09-16","RC Toulon","Stade Toulousain",15,18,"","CHRIS ROSSOUW","FRANCK ALAZET","FREDERIC ARNIAUD","BENJAMIN BASTERES","SEBASTIEN BISCIGLIA","SALIM BOUKANOUCHA","LAURENT BUCHET","OLIVIER CAISSO","JULIEN CAPDEILLAYRE","RAFAEL CARBALLO","FRANCK COMBA","NOËL CURNIER","DAVID DOUY","MOHAMMED DRIDI","ERIC ESPAGNO","PHILIP FITZGERALD","JULIO GARCIA","OLIVIER GRIMAUD","EUSEBIO GUINAZU","AUBIN HUEBER","MARTIN JAGR","HAROLD KARELE","JEAN BAPTISTE ELISSALDE","GREGORY MENKARSKA","BENOIT BABY","ANTOINE BATTUT","JEAN BOUILHOU","TREVOR BRENNAN","YANNICK BRU","VINCENT CLERC","JEAN FREDERIC DUBOIS","JULIAN FIORINI","FLORIAN FRITZ","XAVIER GARBAJOSA","DAVID GERARD","OMAR HASAN","CEDRIC HEYMANS","DANIEL HUMAN","YANNICK JAUZION","NICOLAS JEANJEAN","GREGORY LAMBOLEY","JULIEN LE DEVEDEC","AIDAN MC CULLEN","FINAU MAKA","","",0,-3,"Stade Toulousain"
"30","2005-2006","J5","2005-09-17","CA Brive","Section Paloise",34,10,"","MAXIME PETITJEAN","XAVIER SADOURNY","YVES DONGUY","FARID SID","SIMON AZOULAI","SÉBASTIEN BONETTI","JÉRÔME BONVOISIN","JULIEN CAMPO","PIERRE CAPDEVIELLE","RUDY CHERON","NICOLAS COUTTET","JOHAN DALLA RIVA","JAWAD DJOUDI","DENYS DROZDZ","PASCAL GIORDANI","FABIEN LAURENT","CEDRIC LEITE","ALEXANDRE MALEYRIE","LIONEL MALLIER","YVAN MANHES","CLEMENT MARIENVAL","LIONEL BEAUXIS","NICOLAS MOURET","GONZALO QUESADA","FERNANDO GUATIERI","PATRICIO ALBACETE","DAVID BERDOY","FABIEN BOIROUX","ABDELLATIF BOUTATY","ROMAIN CABANNES","JEAN-EMMANUEL CASSIN","FLORIAN CAZALOT","RUDY CHARTRON-COLLIER","FABIEN CIBRAY","JEAN CHARLES CISTTACQ","BRENDON DANIEL","STÉPHANE DELPUECH","MATHIEU DOURTHE","ARNAUD EPITO","VINCENT FORGUES","PATRICK FURET","JOHN ISAAC","ELVIS LABORDE GRECHE","","","",0,24,"CA Brive"
"31","2005-2006","J5","2005-09-17","SU Agen","Castres Olympique",40,16,"","FRANCOIS GELEZ","LUC LAFFORGUE","CORNELIUS STOLTZ","RUPENI CAUCAUNIBUCA","PATRICK BLANCO","CHRISTIAN CALIFANO","ARIEL CASTELLINA","ALEXANDRE CHAZALET","DAMIEN COSTANZO","JEAN JACQUES CRENCA","FABRICE CULINE","SANTIAGO DELLAPE","PEPITO ELHORGA","DAMIEN FEVRE","ALESSIO GALASSO","KIRILL KULEMIN","YANNICK LARGUET","MATTHIEU LIEVREMONT","ARNAUD MATHET","JEROME MIQUEL","ROMAIN TEULET","LAURENT MARTICORENA","LALOA MILFORD","JEAN BAPTISTE PEYRAS LOUSTALET","ALEXANDRE ALBOUY","DAVID ATTOUB","MATHIEU BARRAU","GUILLAUME BERNAD","ALEXANDRE BIAS","LAURENT BUSOLIN","LAURENT CADAU","RODRIGO CAPO ORTEGA","JEREMY CASTEX","PHILIP CHRISTOPHERS","YANN DELAIGUE","FLORIAN FAURE","YANN FIOR","BRADLY FLEMING","YANNICK FORESTIER","ROMAIN FROMENT","THOMAS GENEVOIS","KARIM GHEZAL","","","","",0,24,"SU Agen"
"32","2005-2006","J5","2005-09-17","Montpellier Hérault Rugby","Aviron Bayonnais",40,16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,24,"Montpellier Hérault Rugby"
"33","2005-2006","J5","2005-09-17","Narbonne","Bourgoin",15,29,"","CHRISTOPHER RUIZ","CEDRIC ROSALEN","THIBAULT ALGRET","LAURENT BALUE","SYLVAIN BARTHES","BERTRAND BEDES","OLIVIER BENASSIS","JEAN-MARIE BISARO","MARCO BORTOLAMI","THOMAS BOUQUIE","JULIEN CANDELON","CÉDRIC DESBROSSE","DWAYNE HAARE","JASON HOOPER","DAVID HUNTER","CHRISTIAN LABIT","FRÉDÉRIC LARTIGUE","GREGORY MAHE","ARNAUD MARTINEZ","FRÉDERIC MARTINEZ","LIONEL MAZARS","GUYLAIN BONZOLE MOLOLO","BENJAMIN BOYET","BENOIT CABELLO","AUGUSTO PETRILLI","GUILLAUME BOUSSES","LAURENT BALUC RITTENER","WILLIAM BONET","JULIEN BONNAIRE","NICOLAS BONTINCK","MICKAEL CAMPEGGIA","PABLO CARDINALI","NICOLAS CARMONA","JOHANN CHARLON","JEAN FRANCOIS COUX","GLENN DAVIES","AURELIEN DIOTALLEVI","ALEXIS DRIOLLET","ANTHONY FOREST","MICHAEL FOREST","JULIEN FRIER","IRAKLI GIORGADZE","DAVID JANIN","","","",0,-14,"Bourgoin"
"34","2005-2006","J5","2005-09-17","USA Perpignan","ASM Clermont",34,25,"","JULIEN LAHARRAGUE","DAVID MARTY","JEAN PHILIPPE GRANDCLAUDE","NICOLAS LAHARRAGUE","RIMAS ALVAREZ KAIRELIS","PASCAL BOMATI","GUILLAUME BORTOLASO","MATTHIEU BOURRET","SÉBASTIEN BOZZI","FREDERIC CERMENO","SEBASTIEN CHOBET","VINCENT DEBATY","SEBASTIEN DESCONS","SYLVAIN DUPUY","NICOLAS DURAND","MANUEL EDMONDS","PERRY FRESHWATER","COLIN GASTON","DIEGO GIANNANTONIO","BERNARD GOUTTA","BENJAMIN GOZE","STEPHEN JONES","GONZALO CANALE","ANTHONY FLOCH","BREYTON PAULSE","ALEXANDRE AUDEBERT","DAVID BARRIER","SAM BROOMHALL","RAPHAËL CHANAL","JAMIE CUDMORE","JEAN-BAPTISTE DAMBIELLE","MICHEL DIEUDE","LAURENT EMMANUELLI","EMMANUEL ETIEN","ADRIEN FALIERES","PIERRE MANUEL GARCIA","JOEL KOFFI","MARIO LEDESMA AROCENA","GONZALO LONGO","JULIEN MALZIEU","TONY MARSH","PIERRE MIGNONI","","","","",0,9,"USA Perpignan"
"35","2005-2006","J5","2005-09-17","Biarritz Olympique PB","Stade Français Paris",7,14,"","ARAMBURU FEDERICO MARTIN","DIMITRI YACHVILI","BENOIT AUGUST","IMANOL HARINORDOQUY","DENIS AVRIL","MARC BAGET RABAROU","PETRU BALAN","SERGE BETSEN","PHILIPPE BIDABE","SERELI BOBO","OCKERT BOYSE","NICOLAS BRUSQUE","DIDIER CHOUCHAN","DAVID COUZINET","BENJAMIN DAMBIELLE","JULIEN DUPUY","THIERRY DUSAUTOIR","MIKAEL ETCHEVERRIA","MARTIN GAITAN","JEAN BAPTISTE GOBELET","SHAUN HEGARTY","BENOÎT LECOULS","CHRISTOPHE DOMINICI","OLIVIER SARRAMEA","DAVID SKRELA","JEROME FILLOL","ARNAUD MARCHOIS","MATHIEU BLIN","JULIEN ARIAS","DAVID AURADOU","MAURO BERGAMASCO","MIRCO BERGAMASCO","LUCAS BORGES","IGNACIO CORLETO","PIETER DE VILLIERS","ALAIN PENAUD","STEPHANE GLAS","JUAN MARTIN HERNANDEZ","MIKE JAMES","RAPHAEL JECHOUX","BENJAMIN KAYSER","THIBAULT LACROIX","PABLO LEMOINE","BRIAN LIEBENBERG","","",0,-7,"Stade Français Paris"
"36","2005-2006","J6","2005-09-23","Stade Toulousain","USA Perpignan",30,22,"","JEAN BAPTISTE ELISSALDE","GARETH THOMAS","CEDRIC HEYMANS","BENOIT BABY","JEAN FREDERIC DUBOIS","OMAR HASAN","JULIEN LE DEVEDEC","FREDERIC MICHALAK","JEAN BAPTISTE POUX","ANTOINE BATTUT","AIDAN MC CULLEN","ROMAIN MILLO CHLUSKI","WILLIAM SERVAT","JEAN BOUILHOU","JULIAN FIORINI","DANIEL HUMAN","FINAU MAKA","JEAN-FRANÇOIS MONTAURIOL","TREVOR BRENNAN","FLORIAN FRITZ","YANNICK JAUZION","ISITOLO MAKA","RAMIRO EFOUARDO PEZ","DAVID MARTY","VINCENT DEBATY","MICHEL KONIECKIEWICZ","PASCAL BOMATI","SEBASTIEN CHOBET","COLIN GASTON","PERRY FRESHWATER","GREGORY LE CORVEC","CHRISTOPHE PORCU","OVIDIU TONITA","NATHAN HINES","AGUSTIN LOPRESTTI","VILIAMI VAKI","GUILLAUME BORTOLASO","SEBASTIEN DESCONS","DIEGO GIANNANTONIO","GAVIN HUME","CHRISTOPHE MANAS","","","","","",0,8,"Stade Toulousain"
"37","2005-2006","J6","2005-09-24","Castres Olympique","Biarritz Olympique PB",13,19,"","ROMAIN TEULET","YANNICK FORESTIER","MATHIEU BARRAU","GUILLAUME BERNAD","JEREMY CASTEX","PHILIP CHRISTOPHERS","ROMAIN FROMENT","LAURENT MARTICORENA","KEES MEEUWS","JEAN BAPTISTE PEYRAS LOUSTALET","JULIEN PURICELLI","GUILLAUME TAUSSAC","ALEXANDRE BIAS","YANN DELAIGUE","THOMAS GENEVOIS","LALOA MILFORD","NICOLAS RAFFAULT","REMY VIGNEAUX","LAURENT BUSOLIN","FLORIAN FAURE","KARIM GHEZAL","JULIEN MONTORO","DIMITRI YACHVILI","ARAMBURU FEDERICO MARTIN","JULIEN PEYRELONGUE","BENOIT AUGUST","DENIS AVRIL","PHILIPPE BIDABE","SERELI BOBO","DAVID COUZINET","BENJAMIN DAMBIELLE","MARTIN GAITAN","JEAN BAPTISTE GOBELET","THOMAS LIÈVREMONT","DENIS LISON","SEBASTIEN ORMAECHEA","MARC BAGET RABAROU","OCKERT BOYSE","JULIEN DUPUY","IMANOL HARINORDOQUY","STEVE MALONGA","PETRU BALAN","NICOLAS BRUSQUE","","","",0,-6,"Biarritz Olympique PB"
"38","2005-2006","J6","2005-09-24","Aviron Bayonnais","Narbonne",47,21,"","RICHARD DOURTHE","BENJAMIN THIERY","LOUIS MASSABEAU","BENJAMIN LHANDE","VINCENT INIGO","STÉPHANE AUSSEL","PHIL DAVIES","VIATCHESLAV GRATCHEV","JORGE GARCIA","ARETZ IGUINIZ","JAMES MAC LAREN","GREGORY SUDRE","JEAN MARIE USANDISAGA","PHILIPP VAN SCHAKLWYK","CÉDRIC BERGEZ","NICOLAS ETCHEVERRY","STEVEN HALL","SIULÉO LAFAIALI'I","VINCENT NOUTARY","CHARLIE TERNISIEN","CEDRIC ROSALEN","NICOLAS NADAU","LIONEL MAZARS","OLIVIER BENASSIS","THIBAULT ALGRET","LAURENT BALUE","MARCO BORTOLAMI","THOMAS BOUQUIE","DAVID HUNTER","CHRISTIAN LABIT","GUYLAIN BONZOLE MOLOLO","FABIEN ROFES","LEIATAUA TOMIKI","SYLVAIN BARTHES","JULIEN CANDELON","FRÉDÉRIC LARTIGUE","CHRISTOPHER RUIZ","FRANCK TOURNAIRE","BERTRAND BEDES","CÉDRIC DESBROSSE","GREGORY MAHE","","","","","",0,26,"Aviron Bayonnais"
"39","2005-2006","J6","2005-09-24","Stade Français Paris","CA Brive",25,17,"","JEROME FILLOL","JUAN MARTIN HERNANDEZ","JULIEN ARIAS","DAVID AURADOU","MAURO BERGAMASCO","IGNACIO CORLETO","PIETER DE VILLIERS","CHRISTOPHE DOMINICI","MIKE JAMES","RAPHAEL JECHOUX","BRIAN LIEBENBERG","ARNAUD MARCHOIS","SYLVAIN MARCONNET","YOHAN MONTES","SERGIO PARISSE","AUGUSTIN PICHOT","JULIEN SAUBADE","DAVID SKRELA","RICHARD SOWERBY","MIRCO BERGAMASCO","BENJAMIN KAYSER","REMY MARTIN","MAXIME PETITJEAN","SIMON AZOULAI","JOHAN DALLA RIVA","SÉBASTIEN BONETTI","JÉRÔME BONVOISIN","SAMUEL CHINARRO","NICOLAS COUTTET","PASCAL GIORDANI","FABIEN LAURENT","CLEMENT MARIENVAL","DAMIEN MINASSIAN","DANIEL RODRIGUEZ","RENSBURG CHARL VAN","TIMOTHE CLARK","CEDRIC LEITE","DAMIEN NEVEU","XAVIER SADOURNY","JULIEN CAMPO","JAWAD DJOUDI","ALEXANDRE MALEYRIE","CHARLES PLATEK","FARID SID","","",0,8,"Stade Français Paris"
"40","2005-2006","J6","2005-09-24","Bourgoin","RC Toulon",40,21,"","BENJAMIN BOYET","JEAN FRANCOIS COUX","NICOLAS CARMONA","ANTHONY FOREST","JULIEN FRIER","LAURENT BALUC RITTENER","BENOIT CABELLO","GLENN DAVIES","NICOLAS BONTINCK","FREDERIC MONTAGNAT","PASCAL PEYRON","WILLIAM BONET","MICKAEL CAMPEGGIA","AURELIEN DIOTALLEVI","IRAKLI GIORGADZE","BRICE MONZEGLIO","JULIEN PIERRE","JULIEN BONNAIRE","PABLO CARDINALI","ALEXIS DRIOLLET","DAVID JANIN","PASCAL PAPE","CHRIS ROSSOUW","PATRICE TEISSEIRE","NOËL CURNIER","MARTIN VICKERS-PEARSON","FRANCK ALAZET","FREDERIC ARNIAUD","BENJAMIN BASTERES","OLIVIER CAISSO","JULIEN CAPDEILLAYRE","RAFAEL CARBALLO","MOHAMMED DRIDI","ERIC ESPAGNO","PHILIP FITZGERALD","AUBIN HUEBER","MARTIN JAGR","HAROLD KARELE","BRUNO LANCELLE","LUDOVIC LOUSTAU","SAREL JACOBUS LOUW","GERALD ORSONI","RACHID OURAK","ROMAIN PAIRAULT","","",0,19,"Bourgoin"
"41","2005-2006","J6","2005-09-24","Section Paloise","Montpellier Hérault Rugby",21,12,"","LIONEL BEAUXIS","PATRICIO ALBACETE","JEAN-EMMANUEL CASSIN","FLORIAN CAZALOT","STÉPHANE DELPUECH","MATHIEU DOURTHE","JOHN ISAAC","ELVIS LABORDE GRECHE","GARRICK MORGAN","NICOLAS MOURET","PIERRE SOM","THOMAS SOUCAZE DES SOUCAZE","ACE SOLOMONA TIATIA","DAVID BERDOY","RUDY CHARTRON-COLLIER","ARNAUD EPITO","DAVID LAPERNE","OLIVIER NAUROY","OLIVIER SOURGENS","FABIEN BOIROUX","FABIEN CIBRAY","VINCENT FORGUES","DAVID AUCAGNE","SAMUEL NOUCHI","JEAN MATTHIEU ALCALDE","LAURENT ARBO","DAVID BORTOLUSSI","VASSILI BOST","JOAN CAUDULLO","FREDERIC CHARRIER","NICOLAS DECAMPS","COSTICA DIMA","NICOLAS GRELON","GUILLAUME GUIRAN","MICHEL MACURDY","MAMUKA MAGRAKVELIDZE","FULGENCE OUEDRAOGO","SEBASTIEN PETIT","MURPHY MEFIPOSETA TAELE","JULIEN TOMAS","JACQUES BOUSSUGE","ALEXANDER CODLING","OLIVIER DIOMANDE","ALI KOKO","","",0,9,"Section Paloise"
"42","2005-2006","J6","2005-09-24","ASM Clermont","SU Agen",37,24,"","STEPHEN JONES","BREYTON PAULSE","ELVIS VERMEULEN","JAMIE CUDMORE","AURELIEN ROUGERIE","ALEXANDRE AUDEBERT","DAVID BARRIER","JEAN-BAPTISTE DAMBIELLE","MICHEL DIEUDE","PIERRE MANUEL GARCIA","JULIEN MALZIEU","TONY MARSH","THIBAUT PRIVAT","DAVIT ZIRAKASHVILI","SAM BROOMHALL","LAURENT EMMANUELLI","PIERRE MIGNONI","MARTIN SCELZO","GONZALO CANALE","EMMANUEL ETIEN","JOEL KOFFI","FRANCOIS GELEZ","OPETI FONUA","DAVE VAINQUEUR","JALIL NARJISSI","ARNAUD MATHET","PATRICK BLANCO","DAMIEN COSTANZO","JEAN JACQUES CRENCA","DAMIEN FEVRE","ALESSIO GALASSO","MATTHIEU LIEVREMONT","JEAN-MICHEL PARENT","AARON PERSICO","CORNELIUS STOLTZ","FRANÇOIS TANDONNET","CHRISTIAN CALIFANO","FABRICE CULINE","JEROME MIQUEL","CÉZAR POPESCU","JULIEN TILLOLES","ARIEL CASTELLINA","SANTIAGO DELLAPE","","","",0,13,"ASM Clermont"
"43","2005-2006","J7","2005-09-30","Stade Français Paris","Castres Olympique",25,10,"","JUAN MARTIN HERNANDEZ","BRIAN LIEBENBERG","YOHAN MONTES","DIMITRI SZARZEWSKI","JULIEN ARIAS","DAVID AURADOU","MAURO BERGAMASCO","MIRCO BERGAMASCO","MATHIEU BLIN","IGNACIO CORLETO","PIETER DE VILLIERS","CHRISTOPHE DOMINICI","JEROME FILLOL","STEPHANE GLAS","MIKE JAMES","RAPHAEL JECHOUX","BENJAMIN KAYSER","THIBAULT LACROIX","ARNAUD MARCHOIS","SYLVAIN MARCONNET","REMY MARTIN","GEOFFROY MESSINA","ROMAIN TEULET","JEREMY CASTEX","ALEXANDRE ALBOUY","DAVID ATTOUB","LAURENT CADAU","RODRIGO CAPO ORTEGA","YANN FIOR","BRADLY FLEMING","AKVSENTI GIORGADZE","CARL HOEFT","LIONEL NALLET","JOSE MARIA NUNEK PIOSSEK","JEAN BAPTISTE PEYRAS LOUSTALET","LAURENT MARTICORENA","YANNICK FORESTIER","MATHIEU BARRAU","GUILLAUME BERNAD","PHILIP CHRISTOPHERS","ROMAIN FROMENT","KEES MEEUWS","JULIEN PURICELLI","DAVID ROUMIEU","","",0,15,"Stade Français Paris"
"44","2005-2006","J7","2005-10-01","RC Toulon","Aviron Bayonnais",19,14,"","CHRIS ROSSOUW","MARTIN VICKERS-PEARSON","HAROLD KARELE","FRANCK ALAZET","FREDERIC ARNIAUD","BENJAMIN BASTERES","RAFAEL CARBALLO","JULIEN CAPDEILLAYRE","OLIVIER CAISSO","MOHAMMED DRIDI","ERIC ESPAGNO","PHILIP FITZGERALD","MARTIN JAGR","AUBIN HUEBER","BRUNO LANCELLE","LUDOVIC LOUSTAU","SAREL JACOBUS LOUW","ROMAIN PAIRAULT","RACHID OURAK","GERALD ORSONI","BENJAMIN SERVIEN","NICOLAAS SMIT","RICHARD DOURTHE","BENJAMIN THIERY","CÉDRIC BERGEZ","STÉPHANE AUSSEL","THIERRY CLEDA","EDUARD COETZEE","GUILLAUME COMBES","PHIL DAVIES","NICOLAS ETCHEVERRY","GERARD FRASER","CLÉMENT FROMONT","GRANT HILL","JOSHUA HEKE","ARNAUD HEGUY","STEVEN HALL","VIATCHESLAV GRATCHEV","JORGE GARCIA","ARETZ IGUINIZ","VINCENT INIGO","SIULÉO LAFAIALI'I","","","","",0,5,"RC Toulon"
